document,topicId,distribution,period
406,0,0.1822,0
406,1,0.8178,0
407,0,0.8561,0
407,1,0.1439,0
408,0,0.8393,0
408,1,0.1607,0
409,0,0.4956,0
409,1,0.5044,0
410,0,0.3422,0
410,1,0.6578,0
411,0,0.5416,0
411,1,0.4584,0
412,0,0.6427,0
412,1,0.3573,0
413,0,0.7985,0
413,1,0.2015,0
414,0,0.6339,0
414,1,0.3661,0
415,0,0.4376,0
415,1,0.5624,0
416,0,0.6,0
416,1,0.4,0
417,0,0.7758,0
417,1,0.2242,0
418,0,0.7071,0
418,1,0.2929,0
419,0,0.5476,0
419,1,0.4524,0
420,0,0.6865,0
420,1,0.3135,0
421,0,0.6073,0
421,1,0.3927,0
422,0,0.7137,0
422,1,0.2863,0
423,0,0.7351,0
423,1,0.2649,0
424,0,0.2347,0
424,1,0.7653,0
425,0,0.2416,0
425,1,0.7584,0
426,0,0.2774,0
426,1,0.7226,0
427,0,0.8201,0
427,1,0.1799,0
428,0,0.4468,0
428,1,0.5532,0
429,0,0.6149,0
429,1,0.3851,0
430,0,0.45,0
430,1,0.55,0
431,0,0.3144,0
431,1,0.6856,0
432,0,0.2567,0
432,1,0.7433,0
433,0,0.6454,0
433,1,0.3546,0
434,0,0.3333,0
434,1,0.6667,0
435,0,0.1038,0
435,1,0.8962,0
436,0,0.3078,0
436,1,0.6922,0
437,0,0.3575,0
437,1,0.6425,0
438,0,0.5416,0
438,1,0.4584,0
439,0,0.2824,0
439,1,0.7176,0
440,0,0.3129,0
440,1,0.6871,0
441,0,0.2863,0
441,1,0.7137,0
442,0,0.377,0
442,1,0.623,0
443,0,0.3573,0
443,1,0.6427,0
444,0,0.6412,0
444,1,0.3588,0
445,0,0.3829,0
445,1,0.6171,0
446,0,0.6901,0
446,1,0.3099,0
447,0,0.5116,0
447,1,0.4884,0
448,0,0.3523,0
448,1,0.6477,0
449,0,0.5555,0
449,1,0.4445,0
450,0,0.1669,0
450,1,0.8331,0
451,0,0.6535,0
451,1,0.3465,0
452,0,0.7141,0
452,1,0.2859,0
453,0,0.594,0
453,1,0.406,0
454,0,0.5454,0
454,1,0.4546,0
455,0,0.7296,0
455,1,0.2704,0
456,0,0.7949,0
456,1,0.2051,0
457,0,0.4756,0
457,1,0.5244,0
458,0,0.7386,0
458,1,0.2614,0
459,0,0.6756,0
459,1,0.3244,0
460,0,0.8068,0
460,1,0.1932,0
461,0,0.7352,0
461,1,0.2648,0
462,0,0.7722,0
462,1,0.2278,0
463,0,0.3773,0
463,1,0.6227,0
464,0,0.6399,0
464,1,0.3601,0
465,0,0.7959,0
465,1,0.2041,0
466,0,0.5,0
466,1,0.5,0
467,0,0.3336,0
467,1,0.6664,0
468,0,0.3882,0
468,1,0.6118,0
469,0,0.6755,0
469,1,0.3245,0
470,0,0.2633,0
470,1,0.7367,0
471,0,0.659,0
471,1,0.341,0
472,0,0.8633,0
472,1,0.1367,0
473,0,0.4531,0
473,1,0.5469,0
474,0,0.4167,0
474,1,0.5833,0
475,0,0.4804,0
475,1,0.5196,0
476,0,0.4434,0
476,1,0.5566,0
477,0,0.8418,0
477,1,0.1582,0
478,0,0.2548,0
478,1,0.7452,0
479,0,0.7496,0
479,1,0.2504,0
480,0,0.1089,0
480,1,0.8911,0
481,0,0.4377,0
481,1,0.5623,0
482,0,0.4269,0
482,1,0.5731,0
483,0,0.6911,0
483,1,0.3089,0
484,0,0.7598,0
484,1,0.2402,0
485,0,0.1526,0
485,1,0.8474,0
486,0,0.3038,0
486,1,0.6962,0
487,0,0.1734,1
487,1,0.8266,1
488,0,0.2296,1
488,1,0.7704,1
489,0,0.2287,1
489,1,0.7713,1
490,0,0.1844,1
490,1,0.8156,1
491,0,0.3573,1
491,1,0.6427,1
492,0,0.4335,1
492,1,0.5665,1
493,0,0.4552,1
493,1,0.5448,1
494,0,0.5611,1
494,1,0.4389,1
495,0,0.4446,1
495,1,0.5554,1
496,0,0.8741,1
496,1,0.1259,1
497,0,0.3647,1
497,1,0.6353,1
498,0,0.2004,1
498,1,0.7996,1
499,0,0.1092,1
499,1,0.8908,1
500,0,0.3624,1
500,1,0.6376,1
501,0,0.355,1
501,1,0.645,1
